date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:42:42	292/292	---M--	200	added ('OK')	image/png	etag:%22wzsdm-1612981992-292-945555072%22	https://web.archive.org/_static/images/toolbar/wm_tb_prv_on.png	C:/My%20Web%20Sites/Home%20Game/web.archive.org/_static/images/toolbar/wm_tb_prv_on.png	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:42:42	294/294	---M--	200	added ('OK')	image/png	etag:%22wzsdm-1612981992-294-946734722%22	https://web.archive.org/_static/images/toolbar/wm_tb_nxt_on.png	C:/My%20Web%20Sites/Home%20Game/web.archive.org/_static/images/toolbar/wm_tb_nxt_on.png	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:42:42	913/913	---M--	200	added ('OK')	image/gif	etag:%22wzsdm-1612982138-913-438895683%22	https://web.archive.org/_static/images/loading.gif	C:/My%20Web%20Sites/Home%20Game/web.archive.org/_static/images/loading.gif	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:42:43	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:42:41%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/dunia	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/dunia	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:42:43	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:42:42%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/index.html	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:42:43	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:42:42%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/dunia	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/dunia	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:42:43	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:42:42%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/dunia/fitur.asp	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/dunia/fitur.asp	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:42:44	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:42:43%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/berita/berita.asp	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/berita/berita.asp	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:42:44	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:42:43%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/berita/acara.asp	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/berita/acara.asp	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:42:45	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:42:44%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/berita/info.asp	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/berita/info.asp	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
